bilheteunico;calldate;hora;tipo;origem;destino;duracao;duracaototal
1675158033.11;"2023-01-31";"06:40:33";Recebida;1801 - 1801;URA - FR_ONLINE;30;30;
1675158080.13;"2023-01-31";"06:41:20";Recebida;1803 - 1803;URA - FR_ONLINE;28;28;
1675158125.15;"2023-01-31";"06:42:05";Recebida;0014 - 0014;URA - FR_ONLINE;21;21;
1675158129.16;"2023-01-31";"06:42:09";Recebida;1809 - 1809;URA - FR_ONLINE;24;24;
1675158163.19;"2023-01-31";"06:42:43";Recebida;0003 - 0003;URA - FR_ONLINE;33;33;
1675158205.21;"2023-01-31";"06:43:25";Recebida;1815 - 1815;URA - FR_ONLINE;22;22;
1675158220.23;"2023-01-31";"06:43:40";Recebida;2302 - 2302;URA - FR_ONLINE;28;28;
1675158235.25;"2023-01-31";"06:43:55";Recebida;0004 - 0004;URA - FR_ONLINE;20;20;
1675158246.28;"2023-01-31";"06:44:06";Recebida;2317 - 2317;URA - FR_ONLINE;43;43;
1675158256.30;"2023-01-31";"06:44:16";Recebida;0019 - 0019;URA - FR_ONLINE;23;23;
1675158282.32;"2023-01-31";"06:44:43";Recebida;1817 - 1817;URA - FR_ONLINE;25;25;
1675158360.34;"2023-01-31";"06:46:00";Recebida;0011 - 0011;URA - FR_ONLINE;23;23;
1675158364.35;"2023-01-31";"06:46:04";Recebida;0017 - 0017;URA - FR_ONLINE;34;34;
1675158560.38;"2023-01-31";"06:49:20";Recebida;4105 - 4105;URA - FR_ONLINE;19;19;
1675158584.40;"2023-01-31";"06:49:44";Recebida;2205 - 2205;URA - FR_ONLINE;51;51;
1675158631.42;"2023-01-31";"06:50:31";Recebida;4108 - 4108;URA - FR_ONLINE;30;30;
1675158670.44;"2023-01-31";"06:51:10";Recebida;2208 - 2208;URA - FR_ONLINE;38;38;
1675158678.46;"2023-01-31";"06:51:18";Recebida;4108 - 4108;URA - FR_ONLINE;19;19;
1675158699.48;"2023-01-31";"06:51:39";Recebida;2202 - 2202;URA - FR_ONLINE;26;26;
1675158721.50;"2023-01-31";"06:52:01";Recebida;4404 - 4404;URA - FR_ONLINE;20;20;
1675158784.52;"2023-01-31";"06:53:04";Recebida;4002 - 4002;URA - FR_ONLINE;26;26;
1675158801.54;"2023-01-31";"06:53:21";Recebida;2307 - 2307;URA - FR_ONLINE;29;29;
1675158810.56;"2023-01-31";"06:53:30";Recebida;4018 - 4018;URA - FR_ONLINE;27;27;
1675158815.57;"2023-01-31";"06:53:35";Recebida;4410 - 4410;URA - FR_ONLINE;26;26;
1675158827.60;"2023-01-31";"06:53:47";Recebida;4118 - 4118;URA - FR_ONLINE;30;30;
1675158828.61;"2023-01-31";"06:53:48";Recebida;4012 - 4012;URA - FR_ONLINE;21;21;
1675158871.64;"2023-01-31";"06:54:32";Recebida;3811 - 3811;URA - FR_ONLINE;34;34;
1675158896.66;"2023-01-31";"06:54:56";Recebida;4416 - 4416;URA - FR_ONLINE;22;22;
1675158898.67;"2023-01-31";"06:54:59";Recebida;4015 - 4015;URA - FR_ONLINE;28;28;
1675158938.70;"2023-01-31";"06:55:38";Recebida;2115 - 2115;URA - FR_ONLINE;164;164;
1675158957.72;"2023-01-31";"06:55:57";Recebida;2215 - 2215;URA - FR_ONLINE;113;113;
1675158972.74;"2023-01-31";"06:56:12";Recebida;1410 - 1410;URA - FR_ONLINE;77;77;
1675158981.76;"2023-01-31";"06:56:22";Recebida;1810 - 1810;URA - FR_ONLINE;13;13;
1675158989.78;"2023-01-31";"06:56:30";Recebida;1010 - 1010;URA - FR_ONLINE;33;33;
1675158997.80;"2023-01-31";"06:56:37";Recebida;2010 - 2010;URA - FR_ONLINE;37;37;
1675159001.81;"2023-01-31";"06:56:41";Recebida;2016 - 2016;URA - FR_ONLINE;20;20;
1675159003.82;"2023-01-31";"06:56:43";Recebida;1810 - 1810;URA - FR_ONLINE;11;11;
1675159010.86;"2023-01-31";"06:56:50";Recebida;0207 - 0207;URA - FR_ONLINE;64;64;
1675159012.87;"2023-01-31";"06:56:52";Recebida;2019 - 2019;URA - FR_ONLINE;50;50;
1675159013.88;"2023-01-31";"06:56:53";Recebida;1002 - 1002;URA - FR_ONLINE;56;56;
1675159015.89;"2023-01-31";"06:56:56";Recebida;3805 - 3805;URA - FR_ONLINE;73;73;
1675159025.90;"2023-01-31";"06:57:06";Recebida;0204 - 0204;URA - FR_ONLINE;64;64;
1675159046.93;"2023-01-31";"06:57:26";Recebida;2117 - 2117;URA - FR_ONLINE;52;52;
1675159049.95;"2023-01-31";"06:57:29";Recebida;2809 - 2809;URA - FR_ONLINE;53;53;
1675159060.96;"2023-01-31";"06:57:40";Recebida;3703 - 3703;URA - FR_ONLINE;69;69;
1675159061.98;"2023-01-31";"06:57:41";Recebida;1414 - 1414;URA - FR_ONLINE;62;62;
1675159062.99;"2023-01-31";"06:57:43";Recebida;1902 - 1902;URA - FR_ONLINE;63;63;
1675159066.100;"2023-01-31";"06:57:46";Recebida;3410 - 3410;URA - FR_ONLINE;89;89;
1675159068.101;"2023-01-31";"06:57:49";Recebida;1014 - 1014;URA - FR_ONLINE;60;60;
1675159074.102;"2023-01-31";"06:57:54";Recebida;0214 - 0214;URA - FR_ONLINE;65;65;
1675159083.106;"2023-01-31";"06:58:03";Interna;9951 - 9951;2215 - 2215;19;19;
1675159098.110;"2023-01-31";"06:58:18";Recebida;3401 - 3401;URA - FR_ONLINE;61;61;
