bilheteunico;calldate;hora;tipo;app;origem;destino;duracao;billsec;duracaototal;
1677142782.2;23/02/2023;05:59:43;IN;Agente;1105;Agente/609;23;3;26;
1677142816.4;23/02/2023;06:00:16;IN;Agente;1116;Agente/607;16;15;31;
1677143515.8;23/02/2023;06:11:55;IN;Agente;1113;Agente/613;20;2;22;
1677145169.13;23/02/2023;06:39:29;IN;Agente;2310;Agente/611;26;3;29;
1677145255.15;23/02/2023;06:40:55;IN;Agente;0003;Agente/608;9;4;13;
1677145373.17;23/02/2023;06:42:54;IN;Agente;0004;Agente/612;13;3;16;
1677145395.19;23/02/2023;06:43:15;IN;Agente;0009;Agente/609;20;3;23;
1677145418.21;23/02/2023;06:43:39;IN;Agente;0019;Agente/607;28;3;31;
1677145619.23;23/02/2023;06:46:59;IN;Agente;0017;Agente/613;27;3;30;
1677145840.25;23/02/2023;06:50:40;IN;Agente;2302;Agente/611;20;3;23;
1677145857.27;23/02/2023;06:50:57;IN;Agente;0017;Agente/608;7;2;9;
1677145869.29;23/02/2023;06:51:09;IN;Agente;4211;Agente/612;17;3;20;
1677145936.31;23/02/2023;06:52:16;IN;Agente;1403;Agente/609;20;3;23;
1677145943.33;23/02/2023;06:52:23;IN;Agente;4105;Agente/607;19;3;22;
1677145969.35;23/02/2023;06:52:49;IN;Agente;4118;Agente/613;26;2;28;
1677145974.36;23/02/2023;06:52:54;IN;Agente;2203;Agente/611;21;2;23;
1677145977.38;23/02/2023;06:52:57;IN;Agente;4115;Agente/608;10;4;14;
1677145979.39;23/02/2023;06:52:59;IN;Agente;2019;Agente/612;16;3;19;
1677146015.43;23/02/2023;06:53:36;IN;Agente;4406;Agente/609;15;3;18;
1677146033.45;23/02/2023;06:53:53;IN;Agente;0214;Agente/607;14;2;16;
1677146047.47;23/02/2023;06:54:07;IN;Agente;1410;Agente/608;9;2;11;
1677146072.49;23/02/2023;06:54:32;IN;Agente;2607;Agente/611;32;3;35;
1677146078.50;23/02/2023;06:54:38;IN;Agente;2613;Agente/612;23;2;25;
1677146095.53;23/02/2023;06:54:55;IN;Agente;4121;Agente/613;16;2;18;
1677146103.55;23/02/2023;06:55:03;IN;Agente;0212;Agente/609;20;3;23;
1677146104.56;23/02/2023;06:55:04;IN;Agente;0209;Agente/607;24;3;27;
1677146113.59;23/02/2023;06:55:13;IN;Agente;2415;Agente/608;16;3;19;
1677146114.60;23/02/2023;06:55:14;IN;Agente;2109;Agente/612;14;3;17;
1677146124.63;23/02/2023;06:55:24;IN;QUE;2602;VILLE-900;0;1;1;
1677146125.64;23/02/2023;06:55:25;IN;Agente;4408;Agente/611;20;3;23;
1677146132.67;23/02/2023;06:55:32;IN;Agente;4407;Agente/613;20;2;22;
1677146142.69;23/02/2023;06:55:43;IN;Agente;2006;Agente/609;16;3;19;
1677146143.70;23/02/2023;06:55:43;IN;Agente;2602;Agente/607;15;3;18;
1677146144.71;23/02/2023;06:55:45;IN;Agente;4410;Agente/612;15;1;16;
1677146146.72;23/02/2023;06:55:46;IN;Agente;0014;Agente/608;13;5;18;
1677146146.73;23/02/2023;06:55:47;IN;Agente;3805;Agente/611;37;11;48;
1677146156.78;23/02/2023;06:55:56;IN;Agente;1801;Agente/612;10;9;19;
1677146158.79;23/02/2023;06:55:58;IN;Agente;2302;Agente/613;35;10;45;
1677146163.81;23/02/2023;06:56:03;IN;QUE;3407;VILLE-900;0;0;0;
1677146166.82;23/02/2023;06:56:06;IN;Agente;2010;Agente/607;11;11;22;
1677146177.85;23/02/2023;06:56:17;IN;Agente;3702;Agente/609;13;2;15;
1677146179.86;23/02/2023;06:56:19;IN;Agente;4201;Agente/608;12;2;14;
1677146191.90;23/02/2023;06:56:32;IN;Agente;2016;Agente/612;16;3;19;
1677146202.92;23/02/2023;06:56:42;IN;Agente;3407;Agente/607;23;3;26;
1677146213.94;23/02/2023;06:56:53;IN;Agente;4408;Agente/609;19;2;21;
